iter	Passed	Remaining
0	9	59576
1	18	56743
2	30	60276
3	43	65527
4	57	69143
5	66	66536
6	107	91914
7	124	93504
8	139	92704
9	147	88224
10	156	85368
11	166	83098
12	186	85989
13	195	83481
14	203	81364
15	212	79644
16	215	75764
17	217	72317
18	219	69223
19	222	66412
20	224	63833
21	226	61656
22	229	59538
23	231	57588
24	235	56167
25	237	54479
26	239	52909
27	241	51456
28	243	50150
29	245	48952
30	248	47791
31	250	46665
32	253	45869
33	255	44910
34	258	43997
35	260	43144
36	262	42302
37	264	41507
38	266	40786
39	269	40122
40	272	39565
41	274	38893
42	276	38269
43	278	37702
44	280	37140
45	282	36570
46	284	36045
47	286	35533
48	289	35202
49	291	34744
50	293	34284
51	295	33844
52	298	33442
53	300	33053
54	302	32664
55	304	32283
56	307	32071
57	309	31724
58	312	31437
59	314	31112
60	316	30789
61	318	30475
62	320	30177
63	322	29879
64	325	29740
65	328	29529
66	330	29268
67	332	28996
68	334	28751
69	337	28551
70	338	28307
71	340	28074
72	344	27967
73	346	27740
74	348	27529
75	350	27331
76	352	27149
77	355	26963
78	357	26768
79	359	26575
80	362	26496
81	364	26316
82	366	26132
83	368	25957
84	370	25816
85	373	25657
86	375	25512
87	377	25378
88	379	25237
89	382	25093
90	384	24946
91	386	24809
92	388	24662
93	390	24530
94	392	24410
95	394	24281
96	398	24272
97	400	24138
98	402	24016
99	404	23883
100	407	23772
101	409	23653
102	411	23551
103	413	23432
104	416	23391
105	419	23303
106	421	23226
107	423	23129
108	426	23039
109	428	22923
110	430	22822
111	432	22719
112	435	22699
113	437	22605
114	439	22508
115	442	22420
116	444	22334
117	446	22242
118	448	22154
119	450	22060
120	453	22039
121	455	21962
122	457	21868
123	459	21786
124	461	21696
125	463	21625
126	465	21537
127	467	21469
128	471	21466
129	473	21400
130	476	21332
131	478	21249
132	480	21176
133	482	21102
134	484	21040
135	486	20986
136	490	20978
137	492	20920
138	494	20848
139	496	20782
140	498	20710
141	500	20642
142	502	20584
143	504	20521
144	506	20471
145	509	20415
146	511	20351
147	513	20298
148	515	20237
149	517	20174
150	519	20117
151	521	20068
152	525	20072
153	527	20013
154	529	19956
155	531	19900
156	533	19852
157	535	19794
158	537	19745
159	539	19686
160	542	19663
161	544	19613
162	546	19569
163	548	19514
164	550	19458
165	552	19403
166	554	19369
167	556	19324
168	560	19330
169	562	19278
